city,temperature,description,icon
Modinagar,29.3,few clouds,02n

city,temperature,description,icon
Ghaziabad,40.66,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,30.17,41.26,clear sky,01d
Thursday,32.1,45.32,clear sky,01d
Friday,34.55,46.49,scattered clouds,03d
Saturday,37.08,47.75,clear sky,01d
Sunday,37.5,47.03,clear sky,01d
city,temperature,description,icon
Ludhiana,42.91,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,27.52,42.91,clear sky,01d
Thursday,29.14,45.33,clear sky,01d
Friday,31.58,46.74,clear sky,01d
Saturday,32.2,47.63,clear sky,01d
Sunday,31.3,46.88,clear sky,01d
city,temperature,description,icon
Agra,43.56,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,30.85,43.56,clear sky,01d
Thursday,32.51,45.79,clear sky,01d
Friday,34.2,47.16,broken clouds,04d
Saturday,35.96,48.24,scattered clouds,03d
Sunday,35.05,47.65,clear sky,01d
city,temperature,description,icon
Faridabad,40.72,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,30.94,41.36,clear sky,01d
Thursday,33.48,45.25,clear sky,01d
Friday,35.1,46.2,scattered clouds,03d
Saturday,36.43,47.51,clear sky,01d
Sunday,36.83,46.92,clear sky,01d
city,temperature,description,icon
Meerut,42.83,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,28.65,42.83,clear sky,01d
Thursday,30.03,45.47,clear sky,01d
Friday,32.51,47.16,few clouds,02d
Saturday,33.26,48.08,clear sky,01d
Sunday,35.9,47.74,clear sky,01d
city,temperature,description,icon
Varanasi,42.05,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,30.44,42.54,clear sky,01d
Thursday,31.87,45.77,clear sky,01d
Friday,32.9,45.91,overcast clouds,04d
Saturday,33.24,46.63,overcast clouds,04d
Sunday,34.45,48.88,few clouds,02d
city,temperature,description,icon
Srinagar,26.22,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,11.53,26.22,clear sky,01d
Thursday,13.31,28.07,few clouds,02d
Friday,14.04,28.94,light rain,10d
Saturday,14.41,29.38,light rain,10d
Sunday,13.17,27.85,light rain,10d
city,temperature,description,icon
Aurangabad,37.05,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,26.28,37.1,light rain,10d
Thursday,28.61,38.22,light rain,10d
Friday,27.43,37.04,light rain,10d
Saturday,27.86,38.33,scattered clouds,03d
Sunday,29.18,39.85,clear sky,01d
city,temperature,description,icon
Amritsar,41.8,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,26.64,41.96,clear sky,01d
Thursday,28.83,45.04,clear sky,01d
Friday,30.14,46.52,clear sky,01d
Saturday,30.98,47.48,few clouds,02d
Sunday,30.99,46.5,clear sky,01d
city,temperature,description,icon
Ranchi,34.06,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,25.55,36.0,broken clouds,04d
Thursday,27.03,39.36,broken clouds,04d
Friday,28.55,40.15,overcast clouds,04d
Saturday,29.49,36.31,overcast clouds,04d
Sunday,27.14,40.2,light rain,10d
city,temperature,description,icon
Gwalior,43.25,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,29.47,43.25,clear sky,01d
Thursday,32.44,45.25,clear sky,01d
Friday,34.69,46.52,overcast clouds,04d
Saturday,34.16,47.5,few clouds,02d
Sunday,35.05,47.27,clear sky,01d
city,temperature,description,icon
Delhi,40.62,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,32.25,41.35,clear sky,01d
Thursday,34.25,45.37,clear sky,01d
Friday,35.83,46.34,few clouds,02d
Saturday,37.38,47.49,clear sky,01d
Sunday,37.18,46.74,clear sky,01d
city,temperature,description,icon
Coimbatore,34.88,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,24.24,34.88,heavy intensity rain,10d
Thursday,23.86,26.87,moderate rain,10d
Friday,24.38,33.29,overcast clouds,04d
Saturday,24.33,32.73,light rain,10d
Sunday,24.57,31.6,light rain,10d
city,temperature,description,icon
Jodhpur,42.52,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,28.82,42.54,clear sky,01d
Thursday,30.42,43.25,clear sky,01d
Friday,30.62,44.34,broken clouds,04d
Saturday,29.6,42.75,clear sky,01d
Sunday,28.47,41.73,clear sky,01d
city,temperature,description,icon
Raipur,39.08,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,30.41,39.87,overcast clouds,04d
Thursday,30.51,42.04,overcast clouds,04d
Friday,30.2,35.31,overcast clouds,04d
Saturday,29.52,40.06,broken clouds,04d
Sunday,30.83,43.91,broken clouds,04d
city,temperature,description,icon
Kota,41.87,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,29.76,41.88,clear sky,01d
Thursday,31.67,43.75,clear sky,01d
Friday,33.07,45.0,few clouds,02d
Saturday,33.29,44.86,few clouds,02d
Sunday,32.86,44.25,clear sky,01d
city,temperature,description,icon
Guwahati,35.95,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,25.36,39.26,light rain,10d
Thursday,28.16,43.27,broken clouds,04d
Friday,24.87,41.92,moderate rain,10d
Saturday,24.34,40.41,heavy intensity rain,10d
Sunday,23.6,37.66,heavy intensity rain,10d
city,temperature,description,icon
Chandigarh,37.54,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,25.89,39.21,clear sky,01d
Thursday,27.85,44.17,clear sky,01d
Friday,30.71,45.94,clear sky,01d
Saturday,31.59,46.68,clear sky,01d
Sunday,31.13,46.53,clear sky,01d
city,temperature,description,icon
Thiruvananthapuram,26.99,thunderstorm with light rain,11d

day,min_temp,max_temp,description,icon
Wednesday,25.77,31.76,light rain,10d
Thursday,25.58,31.14,moderate rain,10d
Friday,25.67,31.94,light rain,10d
Saturday,26.08,30.93,light rain,10d
Sunday,26.18,30.64,light rain,10d
city,temperature,description,icon
Moradabad,42.74,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,27.31,42.74,clear sky,01d
Thursday,28.87,45.43,clear sky,01d
Friday,30.39,47.44,clear sky,01d
Saturday,31.08,48.38,clear sky,01d
Sunday,31.39,48.51,clear sky,01d
city,temperature,description,icon
Mysore,33.0,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,23.37,33.41,moderate rain,10d
Thursday,23.4,26.55,light rain,10d
Friday,22.22,30.47,moderate rain,10d
Saturday,22.05,31.32,heavy intensity rain,10d
Sunday,21.05,29.96,heavy intensity rain,10d
city,temperature,description,icon
Bareilly,42.83,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,28.27,42.84,clear sky,01d
Thursday,29.48,45.19,clear sky,01d
Friday,30.38,47.42,scattered clouds,03d
Saturday,30.92,48.42,few clouds,02d
Sunday,32.59,48.34,clear sky,01d
city,temperature,description,icon
Gurgaon,41.02,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,31.28,41.6,clear sky,01d
Thursday,33.69,45.45,clear sky,01d
Friday,33.73,46.52,scattered clouds,03d
Saturday,34.43,47.59,clear sky,01d
Sunday,35.06,46.81,clear sky,01d
city,temperature,description,icon
Aligarh,43.68,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,29.47,43.68,clear sky,01d
Thursday,30.24,45.77,clear sky,01d
Friday,32.22,47.32,broken clouds,04d
Saturday,32.95,48.16,scattered clouds,03d
Sunday,34.59,47.8,clear sky,01d
city,temperature,description,icon
Jalandhar,42.52,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,27.52,42.52,clear sky,01d
Thursday,29.64,45.04,clear sky,01d
Friday,31.28,46.66,few clouds,02d
Saturday,32.33,47.37,few clouds,02d
Sunday,30.96,46.69,clear sky,01d
city,temperature,description,icon
Bhubaneswar,34.12,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,27.27,38.74,few clouds,02d
Thursday,28.66,38.64,overcast clouds,04d
Friday,28.32,40.56,scattered clouds,03d
Saturday,28.67,40.21,few clouds,02d
Sunday,29.44,37.61,overcast clouds,04d
city,temperature,description,icon
Salem,35.11,light rain,10d

day,min_temp,max_temp,description,icon
Wednesday,26.32,35.82,moderate rain,10d
Thursday,25.19,27.79,light rain,10d
Friday,24.48,34.81,light rain,10d
Saturday,25.97,34.55,moderate rain,10d
Sunday,25.23,32.57,moderate rain,10d
city,temperature,description,icon
Saharanpur,41.78,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,25.71,42.03,clear sky,01d
Thursday,27.69,44.77,clear sky,01d
Friday,29.19,46.63,clear sky,01d
Saturday,30.09,47.69,clear sky,01d
Sunday,30.61,47.21,clear sky,01d
city,temperature,description,icon
Gorakhpur,43.18,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,29.15,43.27,clear sky,01d
Thursday,32.0,45.76,clear sky,01d
